Date,Sales
2018-01-01,209.93428306022466
2018-02-01,198.08217160369495
2018-03-01,214.64868601625113
2018-04-01,233.00297000951645
2018-05-01,198.70676301400786
2018-06-01,199.5545489966096
2018-07-01,236.66900207285968
2018-08-01,221.28089797288868
2018-09-01,197.39017329825012
2018-10-01,218.4783195157871
2018-11-01,199.2062224149372
2018-12-01,200.00743882689994
2019-01-01,215.0087369567444
2019-02-01,172.7513442593864
2019-03-01,177.36605012940035
2019-04-01,201.4661138219602
2019-05-01,193.30269962720982
2019-06-01,220.6917263129224
2019-07-01,197.09375577771135
2019-08-01,187.8556208885484
2019-09-01,246.26212792080395
2019-10-01,213.2810841597608
2019-11-01,219.99463189036862
2019-12-01,190.99656169945968
2020-01-01,209.4513285603438
2020-02-01,223.40489247216343
2020-03-01,199.01402675663869
2020-04-01,230.3953162991168
2020-05-01,211.71603976094593
2020-06-01,218.74239619057516
2020-07-01,213.3895965689714
2020-08-01,263.31675013085675
2020-09-01,226.84869957303795
2020-10-01,206.81188311579723
2020-11-01,245.26445756409765
2020-12-01,205.24414394973212
2021-01-01,234.68574647636632
2021-02-01,192.16252972579434
2021-03-01,205.63966885253984
2021-04-01,236.98807217500956
2021-05-01,248.66763668465398
2021-06-01,238.17312833566382
2021-07-01,233.28025469121826
2021-08-01,230.41860405431592
2021-09-01,207.7176957858718
2021-10-01,223.73870905244482
2021-11-01,229.7702754282619
2021-12-01,260.97295299895455
2022-01-01,247.55033189306414
2022-02-01,206.2646206215589
2022-03-01,248.8545607438281
2022-04-01,235.51869337472453
2022-05-01,230.52935660405032
2022-06-01,257.14878001410545
2022-07-01,266.3827023143258
2022-08-01,265.2357718738494
2022-09-01,230.6732766541913
2022-10-01,242.12083722873842
2022-11-01,255.77781100095262
2022-12-01,269.5109025424472
